Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,EMA_63,EMA_100,EMA_200,MACD,ADX,RSI,Stoch_Osc,Williams_R,BBlow,BBmid,BBupp,ATR,OBV,CMF,Price_Change,Pct_Change,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_10,Volume_Lag_10,Close_Roll_Mean_5,Close_Roll_Std_5,Volume_Roll_Mean_5,Close_Roll_Mean_10,Close_Roll_Std_10,Volume_Roll_Mean_10,Close_Roll_Mean_20,Close_Roll_Std_20,Volume_Roll_Mean_20,Relative_Volume,Day_of_Week,Is_Month_End,VWAP,High_Volume,Significant_Price_Move,Volume_Spike_With_Price_Move
2021-09-30 00:00:00+05:30,2314.81787814608,2323.6188124054074,2292.2197444188737,2309.54638671875,6795327,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,6795327,,,,,,,,,,,,,,,,,,,,,,,,3,1,2309.54638671875,0,0,0
2021-10-01 00:00:00+05:30,2293.6865044020833,2328.38586116945,2287.3150782331995,2313.6259765625,4479464,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,11274791,,4.07958984375,0.0017664030769029004,2309.54638671875,6795327.0,,,,,,,,,,,,,,,,,,,4,0,2311.1672039773443,0,0,0
2021-10-04 00:00:00+05:30,2340.4871858222823,2360.518320087506,2325.864792444958,2343.375,5459276,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,16734067,,29.7490234375,0.012858181805902813,2313.6259765625,4479464.0,2309.54638671875,6795327.0,,,,,,,,,,,,,,,,,0,0,2321.6745867814993,0,0,0
2021-10-05 00:00:00+05:30,2342.412298172489,2394.5760330077233,2335.307339333009,2392.009033203125,6766817,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,23500884,,48.634033203125,0.020753841447965105,2343.375,5459276.0,2313.6259765625,4479464.0,2309.54638671875,6795327.0,,,,,,,,,,,,,,,1,0,2341.92660486437,0,0,0
2021-10-06 00:00:00+05:30,2401.863980737893,2401.863980737893,2338.745274730605,2346.766845703125,5129440,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,18371444,,-45.2421875,-0.018913886558119097,2392.009033203125,6766817.0,2343.375,5459276.0,2313.6259765625,4479464.0,,,,,2341.0646484375,33.08876188822277,5726064.8,,,,,,,,2,0,2342.7937876796236,0,0,0
2021-10-07 00:00:00+05:30,2378.990808986424,2382.428832886699,2353.9634111343,2358.272216796875,3168332,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,21539776,,11.50537109375,0.004902647706488628,2346.766845703125,5129440.0,2392.009033203125,6766817.0,2343.375,5459276.0,2309.54638671875,6795327.0,,,2350.809814453125,28.31661586812806,5000665.8,,,,,,,,3,0,2344.3360164543847,0,0,0
2021-10-08 00:00:00+05:30,2370.052521598841,2460.949436407451,2366.61473998805,2448.89404296875,7886246,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,29426022,,90.621826171875,0.038427211891153945,2358.272216796875,3168332.0,2346.766845703125,5129440.0,2392.009033203125,6766817.0,2313.6259765625,4479464.0,,,2377.863427734375,44.11833820041397,5682022.2,,,,,,,,4,0,2365.11395155844,0,0,0
2021-10-11 00:00:00+05:30,2476.5341700639497,2493.5858280360567,2425.149800558363,2431.842041015625,7384333,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,22041689,,-17.052001953125,-0.006963144037237745,2448.89404296875,7886246.0,2358.272216796875,3168332.0,2346.766845703125,5129440.0,2343.375,5459276.0,,,2395.5568359375,44.56642973480684,6067033.6,,,,,,,,0,0,2375.5824121783257,0,0,0
2021-10-12 00:00:00+05:30,2424.82904153542,2459.6658906818802,2421.3910174986217,2445.73095703125,3341005,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,25382694,,13.888916015625,0.005711273915564252,2431.842041015625,7384333.0,2448.89404296875,7886246.0,2358.272216796875,3168332.0,2392.009033203125,6766817.0,,,2406.301220703125,49.67975729751296,5381871.2,,,,,,,,1,0,2380.231599309677,0,0,0
2021-10-13 00:00:00+05:30,2455.998700861533,2493.127565840847,2447.1061055147584,2470.62109375,4979881,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,30362575,,24.89013671875,0.010176972510894222,2445.73095703125,3341005.0,2431.842041015625,7384333.0,2448.89404296875,7886246.0,2346.766845703125,5129440.0,,,2431.0720703125,43.003030273555396,5351959.4,2386.068359375,59.65628129867137,5539012.1,,,,,2,0,2388.358119307042,0,0,0
